generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1707,684.35,424.61,2,2.08,390.36,458.85,3031.82,410.36,845.82,486.96,7.26,62.27,25.03,5.44,155.27
1708,945.02,570.46,2,2.11,463.89,677.03,12546.83,377.20,177.14,409.85,7.63,66.62,18.94,6.81,261.31
1709,743.63,481.44,2,2.43,459.06,503.81,4349.63,394.46,213.55,482.38,8.26,57.99,26.66,7.10,186.35
1710,724.66,523.44,2,2.34,517.86,529.01,5621.77,328.37,392.42,438.29,8.03,53.55,31.59,6.83,210.82
1711,640.36,468.24,2,2.34,444.02,492.47,3780.53,377.46,167.97,451.81,7.85,52.58,33.31,6.27,163.95
1712,661.26,455.39,2,2.45,461.61,449.18,3663.78,310.29,625.20,454.75,6.47,60.72,25.61,7.21,141.44
1713,693.67,512.95,2,2.41,483.67,542.23,5423.14,341.88,468.33,427.36,6.27,63.83,24.76,5.14,170.41
1714,652.74,484.62,2,2.43,458.82,510.41,4486.88,332.88,565.08,403.67,5.98,65.35,24.14,4.54,144.67
1715,646.15,496.27,2,2.52,542.40,450.13,4964.78,396.64,928.24,486.20,5.97,67.56,20.92,5.56,189.33
1716,697.87,459.30,2,2.54,429.96,488.64,4062.14,341.14,171.46,401.05,6.45,72.87,15.77,4.92,137.84
1717,686.79,515.84,2,2.43,550.35,481.33,5636.94,333.62,438.77,437.18,6.66,74.62,13.12,5.60,197.53
1718,614.08,431.78,2,2.44,433.32,430.24,2898.15,390.19,263.34,466.29,6.86,67.40,20.70,5.04,121.42
1719,756.72,420.93,2,2.48,465.36,376.50,2973.55,382.58,235.59,416.37,5.85,66.59,20.48,7.07,116.18
1720,898.49,523.43,2,2.42,450.15,596.71,7099.51,301.10,369.90,387.39,5.62,72.64,17.72,4.01,176.21
1721,757.32,523.40,2,2.25,533.24,513.57,5848.34,350.99,198.55,390.36,6.08,68.07,21.43,4.41,211.43
1722,829.38,509.18,2,2.34,438.82,579.54,6075.03,399.45,1706.71,433.37,6.16,67.41,22.27,4.16,189.80
1723,759.57,510.78,2,2.26,452.12,569.44,5814.96,373.78,1015.86,450.95,6.46,66.97,22.37,4.20,190.31
1724,709.28,508.13,2,2.31,481.15,535.11,5299.30,331.54,201.44,376.71,7.27,64.06,22.91,5.76,229.84
1725,652.13,475.50,2,2.32,448.55,502.44,3877.79,425.75,244.11,515.13,5.57,61.01,29.80,3.62,158.77
